Date,new_id,salinity,water,surv,live_leaves,green_leaves,notes,
2026-05-28,1,0.8,wet,1,18,8,,
2026-05-28,2,0.8,wet,1,23,18,,
2026-05-28,3,0.8,wet,1,29,16,,
2026-05-28,4,0.8,wet,1,22,12,,
2026-05-28,5,0.8,wet,1,28,21,,
2026-05-28,6,0.8,wet,1,4,3,,
2026-05-28,7,0.8,wet,1,24,17,,
2026-05-28,8,0.8,wet,1,38,25,,
,9,0.8,wet,,,,,
2026-05-28,10,0.8,wet,1,23,18,,
2026-05-28,11,0.8,dry,1,22,15,,
2026-05-28,12,0.8,dry,1,28,17,,
2026-05-28,13,0.8,dry,1,36,23,,
2026-05-28,14,0.8,dry,1,35,22,,
2026-05-28,15,0.8,dry,1,35,23,,
2026-05-28,16,0.8,dry,1,19,15,,
2026-05-28,17,0.8,dry,1,36,23,,
2026-05-28,18,0.8,dry,1,17,6,,
2026-05-28,19,0.8,dry,1,33,23,,
,20,0.8,dry,,,,,
2026-05-28,21,4,wet,1,17,15,,
2026-05-28,22,4,wet,1,4,3,,
,23,4,wet,,,,,
2026-05-28,24,4,wet,1,12,5,,
2026-05-28,25,4,wet,1,33,26,,
2026-05-28,26,4,wet,1,28,23,,
2026-05-28,27,4,wet,1,46,38,,
2026-05-28,28,4,wet,1,28,17,,
2026-05-28,29,4,wet,1,17,11,,
2026-05-28,30,4,wet,1,38,26,,
2026-05-28,31,4,dry,1,24,17,,
2026-05-28,32,4,dry,1,16,13,,
2026-05-28,33,4,dry,1,27,24,,
2026-05-28,34,4,dry,1,14,9,,
2026-05-28,35,4,dry,1,40,28,,
2026-05-28,36,4,dry,1,15,12,,
2026-05-28,37,4,dry,1,18,12,,
2026-05-28,38,4,dry,1,17,10,,
2026-05-28,39,4,dry,1,25,18,,
2026-05-27,40,4,dry,1,18,9,,
2026-05-27,41,7.5,wet,1,23,17,"half thatch, some yellowing",
2026-05-27,42,7.5,wet,1,17,10,,
2026-05-27,43,7.5,wet,1,20,12,purpling from tip,
2026-05-27,44,7.5,wet,1,34,23,"half thatch, tan at tip",
2026-05-27,45,7.5,wet,,,,,
2026-05-27,46,7.5,wet,1,22,18,,
2026-05-27,47,7.5,wet,1,25,15,purpling at tip,
2026-05-27,48,7.5,wet,1,26,20,"some brown spots, tan at tip",
2026-05-27,49,7.5,wet,1,14,13,many desiccated ,
2026-05-27,50,7.5,wet,1,16,13,half thatch ,
2026-05-27,51,7.5,dry,1,8,5,,
2026-05-27,52,7.5,dry,1,15,10,"tips purpling and tan, some brown spots",
2026-05-27,53,7.5,dry,1,20,15,tan at tip,
2026-05-27,54,7.5,dry,1,16,13,sparse,
2026-05-27,55,7.5,dry,1,21,10,,
2026-05-27,56,7.5,dry,1,24,18,,
2026-05-27,57,7.5,dry,1,7,4,"browning, aphids on leaves",
2026-05-27,58,7.5,dry,1,17,12,half thatch,
2026-05-27,59,7.5,dry,1,25,17,tan from tip to middle,
2026-05-27,60,7.5,dry,1,25,15,purpling,
2026-05-27,61,11,wet,1,17,13,"yellowing from edge, many desiccated",
2026-05-27,62,11,wet,1,27,10,yellowing & tan at tip,
2026-05-27,63,11,wet,1,18,18,,
2026-05-27,64,11,wet,1,23,15,,
2026-05-27,65,11,wet,1,8,6,many desiccated at center,
2026-05-27,66,11,wet,1,18,10,short and sparse,
2026-05-27,67,11,wet,1,27,20,browning from tip,
2026-05-27,68,11,wet,1,33,29,many desiccated at center,
2026-05-27,69,11,wet,1,9,7,"tan at tip, sparse",
2026-05-27,70,11,wet,1,47,38,"purpling, tan at tip",
2026-05-27,71,11,dry,1,17,14,,
2026-05-27,72,11,dry,1,18,15,"tan at tip, many desiccated ",
2026-05-27,73,11,dry,1,6,1,yellowing sparse,
2026-05-27,74,11,dry,,,,,
2026-05-27,75,11,dry,1,22,21,many desiccated,
2026-05-27,76,11,dry,1,26,20,,
2026-05-27,77,11,dry,1,32,25,tan at tip,
2026-05-27,78,11,dry,1,12,7,,
2026-05-27,79,11,dry,1,6,1,,
2026-05-27,80,11,dry,1,13,12,tan at tip,data collected by Abriel on 5/27
