Date,new_id,salinity,water,surv,live_leaves,green_leaves,notes
2026-05-20,1,0.8,wet,1,16,7,"some purpling, most green w slight tan at tip "
2026-05-20,2,0.8,wet,1,16,12,yellowing 
2026-05-20,3,0.8,wet,1,32,21,"lots of green, flower "
2026-05-20,4,0.8,wet,1,23,13,yellowing 
2026-05-20,5,0.8,wet,1,27,22,"flower, little thatch "
2026-05-20,6,0.8,wet,1,3,1,sparse 
2026-05-20,7,0.8,wet,1,23,18,tall leaves 
2026-05-20,8,0.8,wet,1,26,17,"full, yellowing "
2026-05-20,9,0.8,wet,,,,
2026-05-20,10,0.8,wet,1,24,12,yellowing 
2026-05-20,11,0.8,dry,1,17,7,yellowing and purpling 
2026-05-20,12,0.8,dry,1,27,21,"long, tan at tip "
2026-05-21,13,0.8,dry,1,27,19,"yellow, some thatch "
2026-05-21,14,0.8,dry,1,21,16,"some flowers, yellowing "
2026-05-21,15,0.8,dry,1,23,19,"senesced flower, tan at tips "
2026-05-21,16,0.8,dry,1,31,21,"some yellow, dry at tips, lots of thatch "
2026-05-21,17,0.8,dry,1,29,11,"tan at tips, long leaves "
2026-05-21,18,0.8,dry,1,32,20,tan at tips 
2026-05-21,19,0.8,dry,1,27,19,"long, little thatch "
2026-05-21,20,0.8,dry,,,,
2026-05-21,21,4,wet,1,11,8,lots of thatch 
2026-05-21,22,4,wet,1,3,1,sparse and thatch 
2026-05-21,23,4,wet,,,,
2026-05-21,24,4,wet,1,9,6,sparse with green leaves 
2026-05-21,25,4,wet,1,24,17,"some yellow, droopy leaves "
2026-05-21,26,4,wet,1,34,27,"thatch, tan at tips "
2026-05-21,27,4,wet,1,40,29,some yellowing 
2026-05-21,28,4,wet,1,25,13,"tan at tips, some yellowing "
2026-05-21,29,4,wet,1,21,16,thatch tan at tips 
2026-05-21,30,4,wet,1,25,13,tan at tips 
2026-05-21,31,4,dry,1,26,22,"senesced flowers, yellowing "
2026-05-21,32,4,dry,1,14,10,"sprase, green "
2026-05-21,33,4,dry,1,25,11,"flower, yellowing "
2026-05-21,34,4,dry,1,12,5,"half thatch, tan at tips "
2026-05-21,35,4,dry,1,38,26,purpling 
2026-05-21,36,4,dry,1,14,9,flowering 
2026-05-21,37,4,dry,1,14,8,"thatch heavy, senesced flower"
2026-05-21,38,4,dry,1,17,11,yellowing 
2026-05-21,39,4,dry,1,21,11,tan at tip 
2026-05-21,40,4,dry,1,15,11,"tan at tips, yellowing "
2026-05-21,41,7.5,wet,1,20,14,lots of thatch 
2026-05-21,42,7.5,wet,1,25,13,"tan at tips, "
2026-05-21,43,7.5,wet,1,23,13,thick and half thatch 
2026-05-21,44,7.5,wet,1,37,26,yellowing 
2026-05-21,45,7.5,wet,,,,
2026-05-21,46,7.5,wet,1,27,26,"half thatch, tan at tips "
2026-05-21,47,7.5,wet,1,28,22,some purpling --> end of 5/21/26 data
2026-05-21,48,7.5,wet,1,,,
2026-05-21,49,7.5,wet,1,,,
2026-05-21,50,7.5,wet,1,,,
2026-05-21,51,7.5,dry,1,,,
2026-05-21,52,7.5,dry,1,,,
2026-05-21,53,7.5,dry,1,,,
2026-05-21,54,7.5,dry,1,,,
2026-05-21,55,7.5,dry,1,,,
2026-05-21,56,7.5,dry,1,,,
2026-05-21,57,7.5,dry,1,,,
2026-05-21,58,7.5,dry,1,,,
2026-05-21,59,7.5,dry,1,,,
2026-05-21,60,7.5,dry,1,,,
2026-05-21,61,11,wet,1,,,
2026-05-21,62,11,wet,1,,,
2026-05-21,63,11,wet,1,,,
2026-05-21,64,11,wet,1,,,
2026-05-21,65,11,wet,1,,,
2026-05-21,66,11,wet,1,,,
2026-05-21,67,11,wet,1,,,
2026-05-21,68,11,wet,1,,,
2026-05-21,69,11,wet,1,,,
2026-05-21,70,11,wet,1,,,
2026-05-21,71,11,dry,1,,,
2026-05-21,72,11,dry,1,,,
2026-05-21,73,11,dry,1,,,
2026-05-21,74,11,dry,,,,
2026-05-21,75,11,dry,1,,,
2026-05-21,76,11,dry,1,,,
2026-05-21,77,11,dry,1,,,
2026-05-21,78,11,dry,1,,,
2026-05-21,79,11,dry,1,,,
2026-05-21,80,11,dry,1,,,
